ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
65	357	0	0	0.000000	2.067227	2.067227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
66	356	0	0	0.000000	1.707865	1.707865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
67	358	0	0	0.000000	1.888268	1.888268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
68	248	0	0	0.000000	1.342742	1.342742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
69	162	0	2	0.000000	1.790123	1.790123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
70	129	0	0	0.000000	1.666667	1.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
71	115	0	0	0.000000	1.408696	1.408696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
72	206	0	0	0.000000	1.868932	1.868932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
73	234	0	0	0.000000	2.175214	2.175214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
74	273	0	0	0.000000	1.095238	1.095238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
75	247	0	0	0.000000	2.384615	2.384615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
76	435	0	0	0.000000	2.075862	2.075862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
77	255	0	0	0.000000	1.607843	1.607843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
78	276	0	0	0.000000	1.771739	1.771739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
79	756	0	0	0.000000	2.567460	2.567460	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
80	205	0	0	0.000000	1.775610	1.775610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
81	325	0	1	0.000000	2.575385	2.575385	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
82	197	0	0	0.000000	1.309645	1.309645	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
83	575	0	0	0.000000	3.881739	3.881739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
84	295	0	0	0.000000	1.701695	1.701695	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
85	390	0	1	0.000000	1.789744	1.789744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
86	90	0	0	0.000000	3.244444	3.244444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
87	321	0	1	0.000000	2.389408	2.389408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
88	195	0	0	0.000000	2.425641	2.425641	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
89	174	0	1	0.000000	2.609195	2.609195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
90	712	0	0	0.000000	2.518258	2.518258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
91	318	0	0	0.000000	2.933962	2.933962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
92	237	0	0	0.000000	1.430380	1.430380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
93	217	0	0	0.000000	3.423963	3.423963	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
94	104	0	0	0.000000	2.480769	2.480769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
95	439	0	1	0.000000	2.380410	2.380410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
96	460	0	0	0.000000	1.595652	1.595652	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
97	263	0	0	0.000000	1.961977	1.961977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
98	216	0	0	0.000000	2.032407	2.032407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
99	94	0	0	0.000000	2.925532	2.925532	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
100	273	0	0	0.000000	1.846154	1.846154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
101	277	0	0	0.000000	1.339350	1.339350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
102	106	0	0	0.000000	1.924528	1.924528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
103	272	0	0	0.000000	1.283088	1.283088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
104	406	0	1	0.000000	2.083744	2.083744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
